group_id,group_type,confidence,primary_product_code,related_product_codes,issue_summary,recommendation,priority
G01,generic_vs_specific_sku,high,patch-hpe-flex-om4,old-hpe-premier-flex-lc-lc-multi-mode-om4-2-fiber-15m-cable-|old-hpe-premier-flex-lc-lc-multi-mode-om4-2-fiber-2m-cable-q,Generic HPE OM4 listing overlaps with specific HPE SKUs with lengths and model refs.,rename_generic_parent: keep generic as custom-length option; keep specific SKUs active,P0
G02,near_duplicate_variant,medium,patch-fiber-lclc-om3,old-fiber-optic-patch-cord-lc-lc-multi-mode-om3-simplex-3-meter-0,Generic OM3 LC/LC patch product overlaps with a specific 3m OM3 simplex listing.,keep_all_variants with clearer naming (generic vs fixed length),P1
G03,near_duplicate_variant,medium,patch-lclc-3m,old-fiber-optic-patch-cord-lc-lc-multi-mode-om3-simplex-3-meter-0,Length-only generic product can confuse with branded/spec-specific 3m patch cords.,needs_human_review for merge_or_replace_candidate,P1
G04,near_duplicate_variant,medium,copper-cat6-patch,old-utp-cat-6-patch-cord-305-meter-23awg-solid,Patch cord vs 305m cable naming inconsistency may mislead users.,rename_only to normalize medium (patch cord vs bulk cable),P0
G05,category_overlap,medium,old-fiber-optic-fusion-splicer-machine-0,fiber-splice-trays,Equipment (fusion splicer machine) sits near accessories and may need clearer classification.,category_review,P1
G06,naming_conflict,high,old-fiber-enclosure-12-core-china-0,fiber-enclosure-24-core-china,All-caps / inconsistent naming within same family; difficult comparison.,rename_only with normalized title case and core count preserved,P1
G07,repeated_image_group,medium,old-rack-cable-management-0,rack-accessories|cable-routing-acc,Likely shared generic rack/cable asset can blur distinction between rack accessories and cable routing.,okay for now but low priority,P2
G08,generic_vs_specific_sku,medium,fiber-lc-sc-connectors,old-fiber-optic-lc-connector-0|old-fiber-optic-sc-connector-0,Combined generic connector product overlaps single-connector SKU-style rows.,rename_generic_parent and keep all procurement options,P1
G09,generic_vs_specific_sku,medium,fiber-pigtail-lc-sc,old-fiber-optic-pigtail-lc-multi-mode-om3-simplex-3-meter-0,Generic pigtail listing overlaps specific LC OM3 simplex item.,keep generic + specific; rename generic as multi-model on request,P1
G10,repeated_image_group,medium,old-data-patch-panel-24-port-utp-cat6-0,fp-excel-keystone|fp-legrand-rj45,Faceplate/keystone rows may share generic connector imagery; acceptable but weak differentiation.,needs better product-specific image before promotion,P1
G11,naming_conflict,high,old-ready-cable-sm-lclc-80m-14130646,old-ready-cable-sm-lclc-15m-14130642|old-ready-cable-sm-lclc-20m-14130643,Family has shouting caps and inconsistent token order; hard to scan on cards.,rename_only preserving length and model,P0
G12,near_duplicate_variant,medium,patch-hpe-flex-om4,old-hpe-premier-flex-lc-lc-multi-mode-om4-2-fiber-15m-cable-,Generic item is request-only while close variant has price reference.,needs_price_confirmation for generic policy note,P0
